,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
202,195,Vanuatu,12019,,14,,"11,976",,29,,"37,346",44,"24,976","77,606"
203,196,Greenland,11971,,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810"
204,197,Yemen,11945,,"2,159",,"9,124",,662,N/A,383,69,"329,592","10,579"
20,13,Australia,11853144,,"24,414",,"11,820,014",,"8,716",3,"454,687",937,"81,916,639","3,142,326"
205,198,Caribbean Netherlands,11682,,38,,"10,476",,"1,168",,"438,398","1,426","30,126","1,130,559"
21,14,Vietnam,11625195,,"43,206",,"10,640,971",,"941,018",,"117,481",437,"85,826,548","867,342"
73,66,Tunisia,1153361,,"29,423",,N/A,N/A,N/A,N/A,"95,741","2,442","5,013,383","416,164"
8,1,USA,111820082,,"1,219,487",,"109,814,428",,"786,167",940,"333,985","3,642","1,186,851,502","3,544,901"
74,67,Cuba,1115251,,"8,530",,"1,106,660",,61,,"98,645",754,"14,402,674","1,273,936"
135,128,Barbados,110578,,648,,"108,647",,"1,283",,"383,921","2,250","814,159","2,826,715"
206,199,Sint Maarten,11051,,92,,"10,905",,54,N/A,"251,353","2,093","62,056","1,411,454"
136,129,Angola,107327,,"1,937",,"103,419",,"1,971",,"3,064",55,"1,499,795","42,818"
75,68,Ecuador,1070188,,"36,043",,"1,034,145",,0,,"59,083","1,990","3,082,403","170,173"
76,69,UAE,1067030,,"2,349",,N/A,N/A,N/A,,"105,837",233,"200,732,262","19,910,389"
77,70,Panama,1059893,,"8,727",,"1,051,102",,64,16,"238,341","1,962","7,882,622","1,772,585"
232,225,Niue,1059,,,,"1,056",,3,,"652,898",,,
78,71,Uruguay,1041111,,"7,664",,"1,030,944",,"2,503",18,"297,799","2,192","6,114,822","1,749,083"
22,15,Taiwan,10241523,,"19,005",,"10,222,518",,0,,"428,720",796,"30,742,304","1,286,903"
207,200,Eritrea,10189,,103,,"10,086",,0,,"2,782",28,"23,693","6,470"
137,130,Channel Islands,101717,,228,,"101,321",,168,,"576,421","1,292","1,252,808","7,099,551"
23,16,Argentina,10128845,,"130,841",,"9,997,258",,746,,"220,143","2,844","35,716,069","776,264"
79,72,Mongolia,1011496,,"2,284",,"1,009,212",,0,N/A,"299,429",676,"4,030,048","1,193,000"
80,73,Nepal,1003450,,"12,031",,"991,322",,97,,"33,199",398,"6,047,766","200,088"
236,229,Western Sahara,10,,1,,9,,0,,16,2,,
